t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
8580,0,1293,2441,1793,848,2130,-4.68,5.48,5.43,1.64,1.55,-4.37
8600,0,1297,2683,2026,1525,2563,-8.03,8.46,5.51,2.63,3.44,-4.37
8620,0,1093,2832,2387,2235,2877,-16.07,19.04,4.67,4.37,4.37,-4.37
8640,0,1429,2900,2747,2534,2933,-15.64,35.11,3.34,4.37,0.95,-4.37
8660,0,1580,3006,2856,2641,2954,0.04,46.94,1.74,4.37,0.31,-2.60
8680,0,1986,3094,2933,2658,2979,-14.64,78.45,-26.59,-4.37,-4.37,-1.15
8700,0,2066,3173,2978,2672,2992,0.71,30.49,6.82,1.25,0.23,-1.84
8720,0,2157,3196,3001,2654,3013,4.32,30.62,1.65,0.87,1.18,-1.76
8740,0,2232,3206,3005,2698,3025,6.90,31.95,0.23,0.42,1.41,-0.08
8760,0,2246,3212,2986,2760,3025,5.35,27.72,1.97,-0.10,-0.28,2.19
8780,0,2398,3216,2986,2773,3025,2.91,23.82,2.97,-1.70,0.09,2.95
8800,0,2404,3214,2974,2782,3017,0.75,18.93,2.87,-2.75,1.20,2.77
8820,0,2406,3214,2980,2780,3015,-0.85,16.40,3.24,-2.86,2.21,2.50
8840,0,2410,3217,2981,2792,3009,-1.37,15.03,2.24,-2.41,2.27,2.96
8860,0,2385,3218,2982,2802,3002,-2.89,12.05,2.72,-3.05,1.89,2.69
8880,0,2356,3216,2986,2797,3008,-3.11,9.07,1.99,-3.76,-0.12,2.93
8900,0,2358,3229,2985,2796,3010,-2.78,3.07,1.13,-3.02,-1.08,3.37
9904,0,1711,3181,2595,2782,3003,1.34,0.50,11.29,0.17,0.93,1.03
9924,0,1694,3179,2559,2784,3002,1.55,1.07,11.19,-0.14,0.92,0.66
9944,0,1605,3179,2711,2762,3001,1.18,0.51,10.92,-0.99,-0.20,0.28
9964,0,1421,3180,2740,2769,2992,2.22,1.32,11.92,-1.12,1.20,-0.02
9984,0,1495,3175,2739,2761,2993,1.77,0.50,10.95,-1.09,1.23,-0.03
10004,0,1509,3181,2700,2763,2996,1.38,0.27,10.58,-0.84,1.16,-0.16
